price_range,cart,purchase,view,CVR
$0-50,98616,117072,7690085,1.5223758905135638
$50-100,83282,92305,6547924,1.4096834355438457
$100-150,137660,97178,4955734,1.9609204206682602
$150-200,148986,99067,4254461,2.3285440858430717
$200-250,73828,53069,2832733,1.873420474149876
$250-300,86850,59718,2546903,2.344730050575149
$300-350,20334,19404,1526270,1.271334691764891
$350-400,47339,32858,1608927,2.042230629481636
$400-450,14269,12296,930057,1.3220695075678157
$450-500,33494,23505,1100190,2.136449158781665
$500-550,17199,12268,642456,1.909547112954039
$550-600,18921,14071,697489,2.0173794855546108
$600-650,8671,6753,463284,1.457637216048903
$650-700,6172,4727,339171,1.3936922673223833
$700-750,23824,17368,666894,2.6043119296319954
$750-800,11731,8802,440978,1.9960179419381465
$800-850,4817,3651,237021,1.5403698406470312
$850-900,2684,2085,179562,1.1611588197948342
$900-950,5489,5109,276811,1.8456636477596629
$950-1000,15432,12139,442316,2.7444180178876643
$1000+,66768,49404,2331610,2.1188792293736944
